codigo,nome,template
orcamento,Orçamento,"📋 *ORÇAMENTO*\n\nOlá, {nome}!\n\nSegue o orçamento referente à sua solicitação.\n\n{itens}\n\nSubtotal: R$ {subtotal}\n{linha_desconto}\nValor total: R$ {valor}\n\nA produção será iniciada somente após o aceite deste orçamento e a confirmação do pagamento do sinal mínimo de R$ {sinal_minimo}.\n\nPIX\nBeneficiário: Cleverson Batista Vieira\nChave PIX:\n{PIX}\n\nApós o pagamento, envie o comprovante respondendo a esta mesma conversa.\n\nValidade do orçamento: {dias} dias.\n\nTOP Estampa 👕"
os_geral,OS Geral,"📋 *ORDEM DE SERVIÇO*\n\nOlá, {nome}!\n\nOS Nº {os}\nStatus: {status}\n\n{itens}\n\nValor total: R$ {valor}\nPago: R$ {valor_pago}\nSaldo: R$ {saldo}\n\nTOP Estampa 👕"
os_aberta,OS Aberta,"📋 *ORDEM DE SERVIÇO ABERTA*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} foi aberta com sucesso.\n\n{itens}\n\nValor previsto: R$ {valor}\n\nAcompanhe as próximas atualizações por esta conversa.\n\nTOP Estampa 👕"
os_em_andamento,OS em andamento,"📦 *PRODUÇÃO EM ANDAMENTO*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} está em produção.\n\nAssim que for concluída entraremos em contato.\n\nTOP Estampa 👕"
os_concluida,OS Concluída,"📌 *ORDEM DE SERVIÇO CONCLUÍDA*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} foi concluída.\n\nValor total: R$ {valor}\nPago: R$ {valor_pago}\nSaldo: R$ {saldo}\n\nCaso exista saldo pendente, utilize o PIX abaixo.\n\nBeneficiário: Cleverson Batista Vieira\nPIX:\n{PIX}\n\nApós o pagamento envie o comprovante nesta mesma conversa.\n\nTOP Estampa 👕"
os_cancelada,OS Cancelada,"⚠️ *ORDEM DE SERVIÇO CANCELADA*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} foi cancelada.\n\nEm caso de dúvidas entre em contato conosco.\n\nTOP Estampa 👕"
solicitacao_avaliacao,Solicitação de avaliação,"⭐ *SUA AVALIAÇÃO É IMPORTANTE*\n\nOlá, {nome}!\n\nSua opinião é muito importante para nós.\n\nSe possível, deixe uma avaliação sobre nosso atendimento.\n\nObrigado pela preferência.\n\nTOP Estampa 👕"
aviso_retirada,Aviso para retirada,"📍 *PEDIDO DISPONÍVEL PARA RETIRADA*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} está pronta para retirada há {dias} dia(s).\n\nAguardamos sua visita.\n\nTOP Estampa 👕"
pagamento_pendente,Pagamento pendente,"💰 *PAGAMENTO PENDENTE*\n\nOlá, {nome}!\n\nSua Ordem de Serviço Nº {os} possui saldo pendente.\n\nValor total: R$ {valor}\nPago: R$ {valor_pago}\nSaldo: R$ {saldo}\n\nPIX\nBeneficiário: Cleverson Batista Vieira\n{PIX}\n\nApós o pagamento envie o comprovante nesta mesma conversa.\n\nTOP Estampa 👕"
pagamento_confirmado,Pagamento confirmado,"✅ *PAGAMENTO CONFIRMADO*\n\nOlá, {nome}!\n\nConfirmamos o recebimento do pagamento referente à Ordem de Serviço Nº {os}.\n\nStatus do pagamento: {status_pagamento}\n\nObrigado pela preferência.\n\nTOP Estampa 👕"
solicitar_comprovante,Solicitar comprovante,"📩 *ENVIO DE COMPROVANTE*\n\nOlá, {nome}!\n\nSolicitamos o envio do comprovante de pagamento referente à Ordem de Serviço Nº {os}.\n\nSaldo: R$ {saldo}\n\nResponda a esta mesma conversa anexando o comprovante.\n\nTOP Estampa 👕"
pedido_enviado,Pedido enviado,"🚚 *PEDIDO ENVIADO*\n\nOlá, {nome}!\n\nSeu pedido referente à Ordem de Serviço Nº {os} foi enviado.\n\nCódigo de rastreio: {codigo_rastreio}\n\nTOP Estampa 👕"
saiu_entrega,Saiu para entrega,"🚚 *SAIU PARA ENTREGA*\n\nOlá, {nome}!\n\nSeu pedido referente à Ordem de Serviço Nº {os} saiu para entrega.\n\nEndereço: {endereco_entrega}\n\nTOP Estampa 👕"
